GRPRatingsDate,GRP,t,week
17-Jun-2007 (25),243.6,1,25
24-Jun-2007 (26),263.19,2,26
01-Jul-2007 (27),269.89,3,27
08-Jul-2007 (28),252.88,4,28
15-Jul-2007 (29),303.46,5,29
22-Jul-2007 (30),286.29,6,30
29-Jul-2007 (31),292.28,7,31
05-Aug-2007 (32),288.72,8,32
12-Aug-2007 (33),285.7,9,33
19-Aug-2007 (34),286.01,10,34
26-Aug-2007 (35),308.59,11,35
02-Sep-2007 (36),320.57,12,36
09-Sep-2007 (37),312.67,13,37
16-Sep-2007 (38),278.58,14,38
23-Sep-2007 (39),303.06,15,39
30-Sep-2007 (40),327.22,16,40
07-Oct-2007 (41),315.14,17,41
14-Oct-2007 (42),254.39,18,42
21-Oct-2007 (43),258.73,19,43
28-Oct-2007 (44),272.35,20,44
04-Nov-2007 (45),234.26,21,45
11-Nov-2007 (46),259.35,22,46
18-Nov-2007 (47),272.67,23,47
25-Nov-2007 (48),269.03,24,48
02-Dec-2007 (49),291.72,25,49
09-Dec-2007 (50),275.29,26,50
16-Dec-2007 (51),276.38,27,51
23-Dec-2007 (52),274.68,28,52
30-Dec-2007 (1),273.7,29,1
06-Jan-2008 (2),271.84,30,2
13-Jan-2008 (3),267.63,31,3
20-Jan-2008 (4),260.45,32,4
27-Jan-2008 (5),301.67,33,5
03-Feb-2008 (6),281.6,34,6
10-Feb-2008 (7),286.82,35,7
17-Feb-2008 (8),292.87,36,8
24-Feb-2008 (9),289.84,37,9
02-Mar-2008 (10),237.74,38,10
09-Mar-2008 (11),268.69,39,11
16-Mar-2008 (12),261.46,40,12
23-Mar-2008 (13),240.68,41,13
30-Mar-2008 (14),231.89,42,14
06-Apr-2008 (15),212.18,43,15
13-Apr-2008 (16),218.16,44,16
20-Apr-2008 (17),219.96,45,17
27-Apr-2008 (18),210.24,46,18
04-May-2008 (19),210.17,47,19
11-May-2008 (20),228.25,48,20
18-May-2008 (21),227.32,49,21
25-May-2008 (22),218.16,50,22
01-Jun-2008 (23),228.92,51,23
08-Jun-2008 (24),231.79,52,24
15-Jun-2008 (25),231.19,53,25
22-Jun-2008 (26),214.32,54,26
29-Jun-2008 (27),233.76,55,27
06-Jul-2008 (28),231.12,56,28
13-Jul-2008 (29),224.72,57,29
20-Jul-2008 (30),216.19,58,30
27-Jul-2008 (31),216.75,59,31
03-Aug-2008 (32),211.68,60,32
10-Aug-2008 (33),209.41,61,33
17-Aug-2008 (34),219.99,62,34
24-Aug-2008 (35),205.17,63,35
31-Aug-2008 (36),195.25,64,36
07-Sep-2008 (37),212.45,65,37
14-Sep-2008 (38),232.21,66,38
21-Sep-2008 (39),236.31,67,39
28-Sep-2008 (40),219.91,68,40
05-Oct-2008 (41),193.84,69,41
12-Oct-2008 (42),201.3,70,42
19-Oct-2008 (43),198.4,71,43
26-Oct-2008 (44),170.74,72,44
02-Nov-2008 (45),206.61,73,45
09-Nov-2008 (46),188.68,74,46
16-Nov-2008 (47),197.64,75,47
23-Nov-2008 (48),193.16,76,48
30-Nov-2008 (49),184.74,77,49
07-Dec-2008 (50),188.88,78,50
14-Dec-2008 (51),224.85,79,51
21-Dec-2008 (52),186.91,80,52
28-Dec-2008 (1),192.65,81,1
04-Jan-2009 (2),200.88,82,2
11-Jan-2009 (3),198.88,83,3
18-Jan-2009 (4),227.61,84,4
25-Jan-2009 (5),214.15,85,5
01-Feb-2009 (6),191.91,86,6
08-Feb-2009 (7),208.17,87,7
15-Feb-2009 (8),204.2,88,8
22-Feb-2009 (9),200.61,89,9
01-Mar-2009 (10),208.56,90,10
08-Mar-2009 (11),191.74,91,11
15-Mar-2009 (12),222.07,92,12
